"mun_code","COMUNE","longitude","latitude","province","province_code","region","agr_reg_code"
"1025","Bibiana",7.28978596,44.79758015,"Torino","TO","PIEMONTE","11"
"1033","Bosconero",7.76506984,45.26856393,"Torino","TO","PIEMONTE","14"
"1041","Buriasco",7.41192286,44.87335846,"Torino","TO","PIEMONTE","16"
"1043","Busano",7.6557437,45.32883648,"Torino","TO","PIEMONTE","14"
"1049","Campiglione-Fenile",7.32503803,44.8021244,"Torino","TO","PIEMONTE","16"
"1058","Carignano",7.67534298,44.90666664,"Torino","TO","PIEMONTE","15"
"1059","Carmagnola",7.71815745,44.84654865,"Torino","TO","PIEMONTE","17"
"1062","Caselette",7.48320717,45.10588105,"Torino","TO","PIEMONTE","10"
"1063","Caselle Torinese",7.64818634,45.17716554,"Torino","TO","PIEMONTE","14"
"1066","Castellamonte",7.70986533,45.3833354,"Torino","TO","PIEMONTE","8"
"1078","Chieri",7.82107157,45.01315317,"Torino","TO","PIEMONTE","17"
"108004","Arcore",9.32108103,45.62696694,"Monza e della Brianza","MB","LOMBARDIA","4"
"108031","Mezzago",9.43948055,45.62597039,"Monza e della Brianza","MB","LOMBARDIA","4"
"108034","MuggiÃ²",9.22956006,45.59366403,"Monza e della Brianza","MB","LOMBARDIA","3"
"108044","Usmate Velate",9.36146078,45.6506647,"Monza e della Brianza","MB","LOMBARDIA","1"
"108051","Busnago",9.46619248,45.617173,"Monza e della Brianza","MB","LOMBARDIA","4"
"108054","Lentate sul Seveso",9.11924273,45.67821761,"Monza e della Brianza","MB","LOMBARDIA","3"
"1082","Chivasso",7.8871395,45.18855522,"Torino","TO","PIEMONTE","14"
"1086","Ciriè",7.60378213,45.23202337,"Torino","TO","PIEMONTE","14"
"1099","Druento",7.57620424,45.13473277,"Torino","TO","PIEMONTE","9"
"1101","Favria",7.68801437,45.33284709,"Torino","TO","PIEMONTE","14"
"1110","Frossasco",7.35077043,44.93362239,"Torino","TO","PIEMONTE","11"
"1142","Macello",7.40079259,44.85117887,"Torino","TO","PIEMONTE","16"
"1144","Marentino",7.87332971,45.05800482,"Torino","TO","PIEMONTE","12"
"1148","Mazzè",7.93700162,45.29853622,"Torino","TO","PIEMONTE","13"
"1150","Mercenasco",7.88256683,45.35697859,"Torino","TO","PIEMONTE","8"
"1155","Monastero di Lanzo",7.43913232,45.30142445,"Torino","TO","PIEMONTE","3"
"1161","Montanaro",7.85282569,45.23289425,"Torino","TO","PIEMONTE","14"
"1168","None",7.54123958,44.93231301,"Torino","TO","PIEMONTE","16"
"1171","Orbassano",7.53695676,45.00703303,"Torino","TO","PIEMONTE","15"
