"mun_code","COMUNE","latitude","longitude","province","province_code","region","agr_reg_code"
"1018","Baldissero Torinese",45.06842334,7.81780767,"Torino","TO","PIEMONTE","12"
"1028","Borgaro Torinese",45.15198241,7.65789441,"Torino","TO","PIEMONTE","14"
"1033","Bosconero",45.26856393,7.76506984,"Torino","TO","PIEMONTE","14"
"1070","Cavour",44.78403126,7.37523198,"Torino","TO","PIEMONTE","16"
"1078","Chieri",45.01315317,7.82107157,"Torino","TO","PIEMONTE","17"
"108051","Busnago",45.617173,9.46619248,"Monza e della Brianza","MB","LOMBARDIA","4"
"1082","Chivasso",45.18855522,7.8871395,"Torino","TO","PIEMONTE","14"
"109002","Amandola",42.9804282,13.35571226,"Fermo","FM","MARCHE","2"
"109013","Montappone",43.1355101,13.46935716,"Fermo","FM","MARCHE","2"
"109014","Montefalcone Appennino",42.98770102,13.45956774,"Fermo","FM","MARCHE","2"
"109016","Monte Giberto",43.09128093,13.63086077,"Fermo","FM","MARCHE","4"
"109017","Montegiorgio",43.13003126,13.53778583,"Fermo","FM","MARCHE","2"
"109019","Monteleone di Fermo",43.04742683,13.5288119,"Fermo","FM","MARCHE","2"
"109022","Monterubbiano",43.08540863,13.71643339,"Fermo","FM","MARCHE","4"
"109036","Santa Vittoria in Matenano",43.01995193,13.49672144,"Fermo","FM","MARCHE","2"
"1109","Front",45.2795507,7.66559657,"Torino","TO","PIEMONTE","9"
"1144","Marentino",45.05800482,7.87332971,"Torino","TO","PIEMONTE","12"
"1148","Mazzè",45.29853622,7.93700162,"Torino","TO","PIEMONTE","13"
"1171","Orbassano",45.00703303,7.53695676,"Torino","TO","PIEMONTE","15"
"1173","Osasco",44.84947467,7.34316619,"Torino","TO","PIEMONTE","16"
"1189","Pianezza",45.10062332,7.54635756,"Torino","TO","PIEMONTE","15"
"1192","Pino Torinese",45.0435201,7.77216514,"Torino","TO","PIEMONTE","12"
"1196","Piverone",45.44754377,8.00710274,"Torino","TO","PIEMONTE","8"
"1197","Poirino",44.92119885,7.84361932,"Torino","TO","PIEMONTE","17"
"1203","Pralormo",44.86135787,7.90066311,"Torino","TO","PIEMONTE","17"
"12130","Uboldo",45.61071287,9.00306867,"Varese","VA","LOMBARDIA","6"
"1215","Riva presso Chieri",44.98628102,7.86919927,"Torino","TO","PIEMONTE","17"
"1217","Rivarolo Canavese",45.33279488,7.7252213,"Torino","TO","PIEMONTE","14"
"1218","Rivarossa",45.25127899,7.71719961,"Torino","TO","PIEMONTE","9"
"1219","Rivoli",45.07062854,7.53394487,"Torino","TO","PIEMONTE","10"
"1254","San Secondo di Pinerolo",44.86656606,7.29864772,"Torino","TO","PIEMONTE","11"
"1273","Torrazza Piemonte",45.21520992,7.9749012,"Torino","TO","PIEMONTE","14"
"15058","Casorezzo",45.524201,8.8990494,"Milano","MI","LOMBARDIA","5"
"15171","Peschiera Borromeo",45.43176867,9.31109409,"Milano","MI","LOMBARDIA","6"
"16013","Arzago d'Adda",45.47970041,9.56429523,"Bergamo","BG","LOMBARDIA","9"
"16020","Bariano",45.51477813,9.70701505,"Bergamo","BG","LOMBARDIA","9"
"16040","Brignano Gera d'Adda",45.5445147,9.64789634,"Bergamo","BG","LOMBARDIA","9"
"16043","Calcinate",45.61977118,9.80155201,"Bergamo","BG","LOMBARDIA","10"
"16053","Caravaggio",45.49713767,9.64310613,"Bergamo","BG","LOMBARDIA","9"
"16129","Lurano",45.5650278,9.63944209,"Bergamo","BG","LOMBARDIA","9"
"16141","Mornico al Serio",45.590549,9.80871213,"Bergamo","BG","LOMBARDIA","10"
"16206","Spirano",45.58217246,9.67098717,"Bergamo","BG","LOMBARDIA","9"
"16213","Terno d'Isola",45.6835994,9.53143321,"Bergamo","BG","LOMBARDIA","8"
"16220","Treviolo",45.67161825,9.61127104,"Bergamo","BG","LOMBARDIA","9"
"16222","Urgnano",45.59854143,9.68917779,"Bergamo","BG","LOMBARDIA","9"
"17034","Calvisano",45.34907813,10.34287551,"Brescia","BS","LOMBARDIA","14"
"17046","Cazzago San Martino",45.58101331,10.02501501,"Brescia","BS","LOMBARDIA","12"
"17080","Gottolengo",45.29173169,10.27151767,"Brescia","BS","LOMBARDIA","14"
"17088","Leno",45.36749972,10.21741867,"Brescia","BS","LOMBARDIA","14"
"17113","Montichiari",45.41224627,10.39528281,"Brescia","BS","LOMBARDIA","14"
"18020","Bosnasco",45.0639987,9.35689545,"Pavia","PV","LOMBARDIA","2"
"18024","Broni",45.06197007,9.26129813,"Pavia","PV","LOMBARDIA","10"
"18032","Casatisma",45.04568877,9.13096391,"Pavia","PV","LOMBARDIA","10"
"18033","Casei Gerola",45.0063079,8.92707305,"Pavia","PV","LOMBARDIA","10"
"18047","Cervesina",45.0611738,9.01775898,"Pavia","PV","LOMBARDIA","10"
"18054","Corana",45.06288562,8.96949055,"Pavia","PV","LOMBARDIA","10"
"18094","Montalto Pavese",44.97961147,9.20733549,"Pavia","PV","LOMBARDIA","3"
"18114","Pieve Porto Morone",45.11250986,9.43845739,"Pavia","PV","LOMBARDIA","11"
"18115","Pinarolo Po",45.06602995,9.1648143,"Pavia","PV","LOMBARDIA","10"
"18116","Pizzale",45.03431401,9.04731478,"Pavia","PV","LOMBARDIA","10"
"18120","Redavalle",45.03773197,9.20401766,"Pavia","PV","LOMBARDIA","2"
"18122","Rivanazzano Terme",44.93053102,9.01644721,"Pavia","PV","LOMBARDIA","2"
"18153","Stradella",45.07530591,9.2951673,"Pavia","PV","LOMBARDIA","2"
"18182","Voghera",44.99312509,9.00852362,"Pavia","PV","LOMBARDIA","10"
"19026","Castelverde",45.18570753,9.99696281,"Cremona","CR","LOMBARDIA","5"
"19044","Formigara",45.22306217,9.77073788,"Cremona","CR","LOMBARDIA","3"
"19059","Montodine",45.28626458,9.71079969,"Cremona","CR","LOMBARDIA","3"
"19061","Motta Baluffi",45.05446451,10.25959107,"Cremona","CR","LOMBARDIA","6"
"19069","Pescarolo ed Uniti",45.19704222,10.18509595,"Cremona","CR","LOMBARDIA","6"
"19090","San Giovanni in Croce",45.07745004,10.378411,"Cremona","CR","LOMBARDIA","7"
"19095","Sesto ed Uniti",45.17550294,9.91670824,"Cremona","CR","LOMBARDIA","5"
"19100","Spinadesco",45.14822339,9.92828507,"Cremona","CR","LOMBARDIA","5"
"19103","Stagno Lombardo",45.07323308,10.08795842,"Cremona","CR","LOMBARDIA","5"
"19108","Torricella del Pizzo",45.02004282,10.29564633,"Cremona","CR","LOMBARDIA","7"
"20001","Acquanegra sul Chiese",45.16049553,10.43338521,"Mantova","MN","LOMBARDIA","2"
"20002","Asola",45.22055281,10.41432135,"Mantova","MN","LOMBARDIA","2"
"20003","Bagnolo San Vito",45.09248928,10.88141283,"Mantova","MN","LOMBARDIA","5"
"20008","Canneto sull'Oglio",45.15029003,10.37540525,"Mantova","MN","LOMBARDIA","2"
"20009","Carbonara di Po",45.03536191,11.22920362,"Mantova","MN","LOMBARDIA","7"
"20010","Casalmoro",45.2589957,10.40798158,"Mantova","MN","LOMBARDIA","2"
