mun_code,year,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12
1025,1991,70.11,28.02,287.72,108.99,174.41,67.47,68.49,77.98,167.22,149.45,42.1,20.74
1025,1992,66.78,32.22,42.06,135.71,163.58,370.98,140.86,112.61,161.79,241.76,48.27,59.35
1025,1993,17.07,15.58,168.82,280.64,146.27,143.21,93.94,98.88,238.72,196.68,108.31,31.19
1025,1994,139.75,133.27,24.04,144.23,208.82,151.08,84.93,80,349.11,119.35,210.56,35.66
1025,1995,45.07,61.63,17.88,231.8,140.82,220.8,132.06,123.6,158.23,35.69,88.6,103.97
1025,1996,165.9,121.81,92.11,110.73,109.18,105.16,106.21,191.22,122.11,275.6,183.33,171.68
1025,1997,111.71,10.46,5.54,28.67,68.52,240.11,152.28,159.35,50.95,50.34,115.56,105.76
1025,1998,43.6,38.01,24.59,149.57,196.08,126.11,91.01,102.81,67.44,137.52,24.1,32.12
1025,1999,103.77,18.22,72.02,103.56,294.48,172.02,109.68,143.75,155.08,158.73,114.39,61
1025,2000,10.02,11.32,68.45,230.51,120.18,144.88,108.98,133.63,161.83,352.63,188.52,79.25
1025,2001,79.29,67.06,148.81,55.35,220.82,69.01,179.17,152.42,79.93,122.78,66.63,19.91
1025,2002,24.81,157.93,67.74,103.06,301.99,254.49,160.63,252.1,124.53,102.53,235.64,102.35
1025,2003,33.21,34.13,19.05,104.76,66.46,117.24,90.31,61.88,65.29,90.39,172.46,163.98
1025,2004,95.15,129.55,47.81,163.93,141.13,77.1,98.43,119.38,89.78,159.18,116.16,72.99
1025,2005,12.86,18.2,56.2,169.43,97.42,113.59,84.93,122.09,234.18,126.83,61.2,52.94
1025,2006,91.77,59.65,66.17,73.72,79.75,74.32,81.91,83.3,313.8,66.25,64.53,51.02
1025,2007,38.99,35.64,83.74,74.47,192.63,182.47,48.05,162.8,69.21,86.67,65.18,33.15
1025,2008,96.13,28.75,55.64,124.84,307.72,150.41,146.2,92.87,142.45,57.72,223.88,271.33
1025,2009,98.34,54.64,110.46,335.02,107.89,109.88,96.94,173.67,143.91,86.74,91.39,123.25
1025,2010,88.66,107.64,146.09,75.95,214.63,338.91,137.72,214.12,98.16,159.21,226.7,95.32
1025,2011,38.04,69.55,224.28,41.18,83.71,251.15,217.3,90.4,127.23,50.94,260.54,31.57
1025,2012,68.1,33.78,67.96,164.17,190.94,117.06,152.18,143.06,149.17,76.37,192.68,41.2
1025,2013,46,64.69,168.99,185.49,295.56,137.71,130.56,140.78,91.95,138.93,127.59,92.68
1025,2014,115.84,120.84,87.52,91.61,127.35,184.2,301.28,142.12,141.67,106.21,261.48,95.8
1025,2015,56.78,156.4,156.05,132.28,167.26,165.34,93.61,182.06,138.84,148.71,13.3,16.2
1025,2016,37.74,136.67,115.74,130.09,183.09,158.39,134.92,147.55,116.18,125.73,321.32,56.62
1025,2017,19.74,79.64,136.99,96.33,120.03,172.52,100.69,85.54,79.87,8.32,74.69,91.69
1025,2018,215.23,107.96,154.75,197.09,254.15,186.06,202.12,82.17,122.75,243.84,269.58,22.54
1025,2019,10.43,38.83,21.7,158.79,118.91,145.16,231.28,98.6,122.68,179.94,311.2,119.63
1025,2020,21.69,13.02,110.52,110.2,180.33,201.66,141,152.47,124.11,131.94,24.59,81.89
1025,2021,97.4,58.94,32.84,121.09,144.56,144.97,147.49,92.44,74.91,66.45,168.99,36.54
1025,2022,2.97,12.85,53.7,108.13,174.2,123.49,104.85,146.45,77.98,123.42,58.14,80.47
1033,1991,68.58,27.82,304.47,80.87,111.06,82.66,27.37,39.37,131.1,167.29,33.2,44.59
1033,1992,50.28,33.88,59.77,136.33,81.11,284.2,71.41,76.04,224.7,263.79,42.94,62.86
1033,1993,19.85,9.33,129.63,212.72,91.24,111.41,110.59,72.25,385.69,224.1,95.58,36.78
1033,1994,153.09,134.67,26.32,121.54,188.17,75.03,27.7,65.86,375.22,115.38,399.45,39.45
1033,1995,42.49,63.7,22.8,252.59,195.87,151.93,47.44,52.47,172.91,36.39,93.24,91.82
1033,1996,182.1,86.96,76.71,60.75,138.32,91.22,80.37,115.92,71.62,259.36,206.43,157.71
1033,1997,101.2,25.27,8.77,24.66,58.29,256.59,88.57,70.68,16.25,32.54,113.17,116.04
1033,1998,46.77,52.18,25.46,192.31,200.79,80.62,64.66,52.5,112.42,122.25,22.82,18.3
1033,1999,122.11,19.39,114.44,86.44,231.02,115.9,36.29,115.09,212.92,162.63,120.36,52.42
1033,2000,11.68,17.12,69.04,220.62,76.38,72.05,130.43,99.08,158.41,493.21,230.43,78.82
1033,2001,70.62,70.02,147.79,43.69,174.68,95.2,145.89,81.77,86.68,159.39,48.54,16.23
1033,2002,28.3,179.82,54.7,85.84,360.13,175.15,106.5,172.67,117.41,105.57,282.99,70.7
1033,2003,30.77,23.82,9.3,79.14,46.65,38.62,50.13,58.33,36.69,57.69,192.79,199.83
1033,2004,93.7,143.28,51.28,152.82,137.19,55.82,54.9,80.49,46.25,198.26,180.19,73.53
1033,2005,27.41,15.22,44.15,149.44,84.54,71.85,72.99,124.43,179.9,116.91,46.24,33.71
1033,2006,80.82,76.3,56.05,62.21,98.56,45.17,31.01,82.91,258.72,85.22,52.89,84.35
1033,2007,65.1,35.71,74.41,32.25,221.04,170.92,39,134.12,82.47,76.35,79.28,20.1
1033,2008,106.38,30.45,45.54,134.9,195.93,126.27,118.88,48.7,165.29,64.33,284.11,256.25
1033,2009,86.99,96.67,136.86,372.78,60.79,95.35,63.25,64.26,107.11,55.66,98.28,110
1033,2010,82.5,88.92,128.53,62.41,242.44,162.98,49.78,179.57,77.82,155.29,255.42,129.42
1033,2011,32.35,77.73,205.82,28.13,47.17,222.74,154.56,53.3,63.44,43.4,327.19,30.35
1033,2012,67.97,22.4,62.25,175.44,205.53,87.88,133.17,112.71,81.4,78.48,239.86,37.02
1033,2013,37.68,59.73,153.73,205.49,319.83,89.52,68.51,78.98,96.52,136.13,151.45,126.81
1033,2014,128.54,160.38,125.32,83.97,116.71,128.58,172.68,172.29,51.62,124.58,365.44,91.53
1033,2015,62.41,134.86,124.69,115.65,148.75,116.05,37.16,115.52,136.34,147.25,19.34,10.78
1033,2016,37.06,141.6,105.58,102.08,172.78,111.75,65.41,96.59,55.72,99.3,304.45,60.25
1033,2017,13.32,64.33,149.88,87.84,100.65,141.15,49.29,72.58,67.4,8.9,60.73,70.02
1033,2018,233.4,74.39,140.07,171.68,189.43,115.39,68.26,30.25,77.47,228.46,274.4,25.86
1033,2019,13.28,40.83,25.3,186.38,116.17,98.17,90.39,73.15,80.45,234.94,372.55,126.47
1033,2020,16.31,13.96,81.59,77.21,127.17,118.54,32.47,74.74,33.16,199.8,13.82,85.65
1033,2021,115.94,48.18,21,70.71,146.22,46.21,97.92,69.26,70.27,110.53,131.46,28.56
1033,2022,7.49,13.2,28.82,87.79,72.07,75.77,32.14,35.22,47.47,136.17,46.89,75.56
1040,1991,64.73,34.62,274.25,63.84,128.21,63.12,81.2,125.11,164.4,144.82,43.35,46.34
1040,1992,45.26,23.84,39.89,112.86,160.05,382.03,142.56,109.13,157.44,254.5,53.89,49.16
1040,1993,9.38,13.38,132.02,248.71,144.01,151.82,134.92,119.34,280.76,157.24,79.52,56.68
1040,1994,134.45,124.73,15.08,136.22,190.6,142.69,151.01,105.5,331.46,113.34,218.6,25.33
1040,1995,74.89,69.22,35.37,235.57,140.63,186.46,192.97,191.99,139.6,20.35,76.03,92.76
1040,1996,139.24,102.6,62.85,75.35,112.14,124.66,142.59,205.32,114.17,211.07,193.45,147.84
1040,1997,91.26,18.99,7.57,29.82,72.25,236.03,173.93,178.37,61.28,51.17,91.04,100.79
1040,1998,51.27,34.05,32.1,122.85,203.64,145.98,114.08,117.74,79.91,101.06,24.65,23.63
1040,1999,102.87,48.23,77.56,83.83,226.63,171.36,153.49,142.26,163.44,134.82,85.09,72.4
1040,2000,6.07,15.51,63.19,217.09,109.19,138.36,134.61,131.93,164.33,388.52,166.81,47.87
1040,2001,71.89,49.82,138.05,43.47,209.68,85.89,181.59,168.16,71.23,80.22,60.3,27.12
1040,2002,14.08,135.56,57.5,90.19,280.94,250.53,186.86,268.62,109.42,73.36,212.49,77.17
1040,2003,28.22,36.88,19.23,94.5,79.93,124.26,127.68,101.92,69.73,72.18,167.12,152.64
1040,2004,105.68,115.3,41.89,144.18,127.73,85.11,143.32,167.36,88.82,129.83,114.79,72.66
1040,2005,19.84,14.1,36.17,148.46,69.04,150.55,137.34,119.8,208.3,96.53,34.63,39.3
1040,2006,78.18,56.9,72.1,101.38,108.94,136.85,132.58,106.86,276.2,55.69,37.71,53.49
1040,2007,46.34,29.69,95.25,72.17,189.87,232.1,80.16,184.98,79.58,72.56,53.73,40.85
1040,2008,81.51,17.52,54.36,108.97,273.59,193.48,185.17,168.31,164.6,44.33,227.62,250.12
1040,2009,97.51,49.91,96.09,302.32,112.95,129.72,151.64,197.18,131.16,61.91,56.91,114.5
1040,2010,72.02,78.94,120.15,59.72,168.86,333.85,152.75,175.34,90.43,118.99,174.08,85.18
1040,2011,24.88,39.55,183.53,54.64,117.62,242.46,208.71,133.6,109.6,41.98,235.72,57
1040,2012,74.9,27.39,53.62,150.27,206.16,125.91,160.44,236.3,122.6,56.63,181.1,55.31
1040,2013,29.6,66.66,127.72,159.14,283.09,138.9,173.12,175.08,93.94,89.01,119.44,73.98
1040,2014,87.05,105.66,68.2,64.09,125.26,177.36,285.3,148.68,94.05,83.03,248.54,70.57
1040,2015,44.87,123.86,135.66,120.28,142.08,174.75,145.64,165.99,137.76,131.88,26.08,4.46
1040,2016,54.48,118.86,121.52,112.24,184.83,193.01,180.01,123.97,127.28,117.31,296.26,50.43
1040,2017,18.51,58.17,149.2,81.81,125.73,144.93,146.87,122.28,70.97,12.18,53.05,103.96
1040,2018,256.74,86.05,112.66,178.66,257.9,213.57,190.27,127.09,124.56,215.94,237.01,42.7
1040,2019,9.79,41.31,26.9,164.07,125.17,152.31,205.93,138.5,105.24,172.02,292.14,138.1
1040,2020,21.72,38.83,105.29,79.25,197.28,206.6,161.07,149.55,82.39,129.26,22.05,56.88
1040,2021,99.32,38.65,30.9,100.72,146.54,166.52,199.6,104.81,91.66,94.47,131.84,56.49
1040,2022,4.26,17.16,46.5,108.25,159.44,143.78,138.17,138.83,84.35,108.7,48.37,68.75
1041,1991,70.17,26.66,277.25,97.58,158.43,70.73,47.92,54.43,151.34,147.42,36.17,24.4
1041,1992,58.46,32.47,43.96,130.83,127.56,325.58,113.74,75.07,172.18,239.57,45.49,55.22
1041,1993,21.03,13.83,163.72,247.52,104.53,130.23,73.29,96.02,255.17,185.66,108.53,34.01
1041,1994,136.2,131.49,22.59,132.69,184.92,111.82,55.77,74.23,377.13,111.93,239.22,36.02
1041,1995,44.88,65.61,17.67,225.08,151.95,188.43,84.25,88.15,159.08,32.57,88.93,96.86
1041,1996,163.25,115.47,92.24,98.4,105.96,91.56,94.76,156.74,97.71,253.49,173.14,164.98
1041,1997,102.52,13.28,7.01,30.39,53.33,217.86,119.41,112.23,28.82,48.28,109.86,100.96
1041,1998,43.38,37.31,24.65,152.86,177.47,100.62,84.81,77.62,70.18,135.24,21.26,27.37
1041,1999,102.32,16.42,73.97,83.73,268.54,152.97,61.17,127.24,156.46,149.55,114.54,55.66
1041,2000,9.67,12.29,62.76,207.01,82.95,107.69,100.93,130.98,146.86,350.47,188.44,75.39
1041,2001,72.72,63.12,146.87,55.1,192.6,58.54,143.16,126.3,79.5,123.05,59.37,18.96
1041,2002,27.03,163.02,60.13,93.04,266.82,209.23,145.91,244.44,116.82,102.13,231.37,94.52
1041,2003,30.74,29.45,15.52,90.94,51.08,72.93,61.63,52.46,49.05,77.19,163.67,162.23
1041,2004,95.76,131.21,48.25,149.4,132.13,73.3,75,78.76,64.67,167.2,107.79,69.44
1041,2005,14.2,17.71,48.93,160.21,90.72,88.86,67.36,124.71,184.82,119.29,48.08,50.07
1041,2006,83.4,60.4,63.76,65.77,74.2,54.55,50.83,80.98,290.75,63.52,67.32,51.36
1041,2007,46.05,36.48,81.18,51.43,173.08,160.67,43.4,143.66,60.44,79.6,61.19,29.83
1041,2008,90.13,30.47,47.99,115.99,245.59,114.8,148.49,68.83,131,52.62,226.71,264.94
1041,2009,95.41,53.42,109.48,316.02,78.84,100.12,74.11,114.47,120.17,87.38,96.44,107.87
1041,2010,87.46,99.79,136.43,69.36,212.5,262.33,88.84,178.9,97.45,151.68,227.85,91.51
