"iso","model","tas"
"IT-AG","CESM2",20.0220384571157
"IT-AL","CESM2",16.7589596598719
"IT-AN","CESM2",17.683771987107
"IT-AO","CESM2",5.02910341305495
"IT-AP","CESM2",15.3721575056572
"IT-AQ","CESM2",11.9292915456336
"IT-AR","CESM2",15.1754265518838
"IT-AT","CESM2",17.0862392786649
"IT-AV","CESM2",16.1674509526646
"IT-BA","CESM2",18.5526935811247
"IT-BG","CESM2",13.1759359789657
"IT-BI","CESM2",14.3070650479343
"IT-BL","CESM2",9.37427530384234
"IT-BN","CESM2",17.0326259112238
"IT-BO","CESM2",17.0358645985207
"IT-BR","CESM2",19.4313124920367
"IT-BS","CESM2",13.9204145806473
"IT-BT","CESM2",19.3388929112254
"IT-BZ","CESM2",6.88114941241145
"IT-CA","CESM2",19.2663173227616
"IT-CB","CESM2",17.3268705785369
"IT-CE","CESM2",18.4553060886091
"IT-CH","CESM2",16.5257521253641
"IT-CI","CESM2",19.1129163816162
"IT-CL","CESM2",20.0731419774964
"IT-CN","CESM2",12.4311334857954
"IT-CO","CESM2",14.167012249849
"IT-CR","CESM2",18.5663289050485
"IT-CS","CESM2",16.6889567175645
"IT-CT","CESM2",18.4413676015847
"IT-CZ","CESM2",17.3111217995365
"IT-EN","CESM2",19.0871891983576
"IT-FC","CESM2",15.9111404582816
"IT-FE","CESM2",18.5672893702735
"IT-FG","CESM2",19.1589641666916
"IT-FI","CESM2",16.0703849157864
"IT-FM","CESM2",17.0121600155165
"IT-FR","CESM2",16.704268660377
"IT-GE","CESM2",14.4721100720392
"IT-GO","CESM2",18.0779411536081
"IT-GR","CESM2",17.6720472471885
"IT-IM","CESM2",14.8067951173194
"IT-IS","CESM2",14.3076594263236
"IT-KR","CESM2",19.6347686708758
"IT-LC","CESM2",13.6793496470996
"IT-LE","CESM2",20.0777800121819
"IT-LI","CESM2",18.5594927522267
"IT-LO","CESM2",18.4555404044769
"IT-LT","CESM2",18.9439262902767
"IT-LU","CESM2",15.0045947071854
"IT-MB","CESM2",18.0163746907263
"IT-MC","CESM2",15.6435234482966
"IT-ME","CESM2",17.1630186469545
"IT-MI","CESM2",18.5159933527826
"IT-MN","CESM2",18.8190452003824
"IT-MO","CESM2",16.2597223106595
"IT-MS","CESM2",14.6849857954369
"IT-MT","CESM2",19.3555450364741
"IT-NA","CESM2",19.9802623727728
"IT-NO","CESM2",17.4959743393506
"IT-NU","CESM2",17.6556540504255
"IT-OG","CESM2",17.3786137392733
"IT-OR","CESM2",18.9772105790122
"IT-OT","CESM2",18.398806480925
"IT-PA","CESM2",18.4528055147951
"IT-PC","CESM2",16.0070208472553
"IT-PD","CESM2",18.5351258775833
"IT-PE","CESM2",16.1350847411734
"IT-PG","CESM2",15.6719270201072
"IT-PI","CESM2",17.7144694520485
"IT-PN","CESM2",15.2781543332651
"IT-PO","CESM2",15.9771463417258
"IT-PR","CESM2",15.3718972190274
"IT-PT","CESM2",15.1550356115693
"IT-PU","CESM2",16.4337727346647
"IT-PV","CESM2",17.8275884337391
"IT-PZ","CESM2",15.7970529896195
"IT-RA","CESM2",17.911632684228
"IT-RC","CESM2",17.8188295974759
"IT-RE","CESM2",16.041162231239
"IT-RG","CESM2",19.6603068265111
"IT-RI","CESM2",14.0776402774354
"IT-RM","CESM2",18.1195990178484
"IT-RN","CESM2",16.8131830446221
"IT-RO","CESM2",18.670725602288
"IT-SA","CESM2",17.2354900584052
"IT-SI","CESM2",16.5520143238992
"IT-SO","CESM2",6.36598598948512
"IT-SP","CESM2",15.9173566535576
"IT-SR","CESM2",20.3084627784897
"IT-SS","CESM2",18.4721373609487
"IT-SV","CESM2",15.3579285467452
"IT-TA","CESM2",19.3585314969612
"IT-TE","CESM2",15.5870353007098
"IT-TN","CESM2",8.97540724155965
"IT-TO","CESM2",12.3471010795531
"IT-TP","CESM2",20.4241906848687
"IT-TR","CESM2",16.7256106391275
"IT-TS","CESM2",17.0766403960002
"IT-TV","CESM2",17.6509952769878
"IT-UD","CESM2",14.2153476444878
"IT-VA","CESM2",16.7051438110716
"IT-VB","CESM2",9.66040395487018
"IT-VC","CESM2",14.7390987859586
"IT-VE","CESM2",18.3076704711979
"IT-VI","CESM2",15.3757657872319
"IT-VR","CESM2",17.4045810656146
"IT-VS","CESM2",19.3568645312774
"IT-VT","CESM2",17.8183976139612
"IT-VV","CESM2",16.9664114827392
"IT-AG","CMCC-CM2-SR5",20.0350801814272
"IT-AL","CMCC-CM2-SR5",16.9434889062444
"IT-AN","CMCC-CM2-SR5",17.8845130995605
"IT-AO","CMCC-CM2-SR5",5.20899294740005
"IT-AP","CMCC-CM2-SR5",15.5499381455978
"IT-AQ","CMCC-CM2-SR5",12.1056123053412
"IT-AR","CMCC-CM2-SR5",15.3554376935306
