"iso","model","tas"
"IT-AG","CESM2",22.8304513044304
"IT-AL","CESM2",19.1408150763966
"IT-AN","CESM2",20.409483861
"IT-AO","CESM2",7.49903638725092
"IT-AP","CESM2",17.9764448773474
"IT-AQ","CESM2",14.4345634362946
"IT-AR","CESM2",17.5951520781607
"IT-AT","CESM2",19.4760812460455
"IT-AV","CESM2",18.5867635554395
"IT-BA","CESM2",21.2087762476773
"IT-BG","CESM2",15.672870347348
"IT-BI","CESM2",17.0183355804112
"IT-BL","CESM2",11.7591174589001
"IT-BN","CESM2",19.4424000899902
"IT-BO","CESM2",19.6951105996244
"IT-BR","CESM2",21.9983941266441
"IT-BS","CESM2",16.4587281868889
"IT-BT","CESM2",21.9683987849047
"IT-BZ","CESM2",9.31748432091547
"IT-CA","CESM2",22.1460691651406
"IT-CB","CESM2",20.0138142087327
"IT-CE","CESM2",20.8063047103176
"IT-CH","CESM2",19.0460725573269
"IT-CI","CESM2",21.8777653897575
"IT-CL","CESM2",22.8265627188669
"IT-CN","CESM2",15.0292617171151
"IT-CO","CESM2",16.5700728341916
"IT-CR","CESM2",21.1649262665389
"IT-CS","CESM2",19.7059863090068
"IT-CT","CESM2",21.2170204391919
"IT-CZ","CESM2",20.1725115522537
"IT-EN","CESM2",22.0566304210352
"IT-FC","CESM2",18.2414699485384
"IT-FE","CESM2",21.1033309190105
"IT-FG","CESM2",22.036424018653
"IT-FI","CESM2",18.3898733748152
"IT-FM","CESM2",19.5749803449221
"IT-FR","CESM2",19.3424965198807
"IT-GE","CESM2",16.7676993249021
"IT-GO","CESM2",20.1715052373947
"IT-GR","CESM2",20.4954126080618
"IT-IM","CESM2",17.2781612315467
"IT-IS","CESM2",16.7441755636549
"IT-KR","CESM2",22.6141000781428
"IT-LC","CESM2",16.1551467661629
"IT-LE","CESM2",22.6612752617309
"IT-LI","CESM2",20.9744925529693
"IT-LO","CESM2",20.982920613836
"IT-LT","CESM2",21.4494636323305
"IT-LU","CESM2",17.617829353891
"IT-MB","CESM2",20.4688754131259
"IT-MC","CESM2",18.3369519836305
"IT-ME","CESM2",20.0810304502427
"IT-MI","CESM2",20.9853399061367
"IT-MN","CESM2",21.5320021866706
"IT-MO","CESM2",19.0726284410643
