"iso","model","tas"
"IT-AG","CESM2",15.346223333951
"IT-AL","CESM2",10.5795917653818
"IT-AN","CESM2",12.2107699456054
"IT-AO","CESM2",-0.098411615469737
"IT-AP","CESM2",10.2735334470675
"IT-AQ","CESM2",6.90275114969104
"IT-AR","CESM2",10.036756624237
"IT-AT","CESM2",10.7796778636148
"IT-AV","CESM2",11.1116375996527
"IT-BA","CESM2",13.499607798932
"IT-BG","CESM2",7.40054800615631
"IT-BI","CESM2",8.29391726564925
"IT-BL","CESM2",3.82419688978655
"IT-BN","CESM2",11.7840861603788
"IT-BO","CESM2",10.8899095302292
"IT-BR","CESM2",14.7672627339833
"IT-BS","CESM2",7.94672121428767
"IT-BT","CESM2",14.1508831862413
"IT-BZ","CESM2",1.31680608877295
"IT-CA","CESM2",14.4652901015405
"IT-CB","CESM2",12.098637514103
"IT-CE","CESM2",13.3178576628281
"IT-CH","CESM2",11.4962062292508
"IT-CI","CESM2",14.8216830161632
"IT-CL","CESM2",15.1415933725375
"IT-CN","CESM2",6.61949051798962
"IT-CO","CESM2",8.43805804240427
"IT-CR","CESM2",11.7457166933873
"IT-CS","CESM2",12.0476503912511
"IT-CT","CESM2",13.6550608169818
"IT-CZ","CESM2",12.9301377544017
"IT-EN","CESM2",13.8980638643945
"IT-FC","CESM2",10.3909191479248
"IT-FE","CESM2",12.1407473710007
"IT-FG","CESM2",13.9215738900302
"IT-FI","CESM2",10.9838955933387
"IT-FM","CESM2",11.7014286942262
"IT-FR","CESM2",11.2957444598152
"IT-GE","CESM2",9.78429862139849
"IT-GO","CESM2",12.1268830232182
"IT-GR","CESM2",12.7881680893224
"IT-IM","CESM2",10.2091382216129
"IT-IS","CESM2",9.36436647431781
"IT-KR","CESM2",14.6974134670611
"IT-LC","CESM2",7.95929523212764
"IT-LE","CESM2",15.4385024918076
"IT-LI","CESM2",14.0434504678019
"IT-LO","CESM2",11.7135987034446
"IT-LT","CESM2",13.7429615431989
"IT-LU","CESM2",10.285588632252
"IT-MB","CESM2",11.488127518056
"IT-MC","CESM2",10.4206502551735
"IT-ME","CESM2",12.9636290366215
"IT-MI","CESM2",11.8465898725567
"IT-MN","CESM2",11.9545908643799
"IT-MO","CESM2",10.1232041217763
"IT-MS","CESM2",10.0190120307623
"IT-MT","CESM2",13.9762164204578
"IT-NA","CESM2",15.1337913184706
"IT-NO","CESM2",10.8805880748632
"IT-NU","CESM2",12.7593566196156
"IT-OG","CESM2",12.6548843435594
"IT-OR","CESM2",14.2522757985823
"IT-OT","CESM2",13.8821781182063
"IT-PA","CESM2",13.8022197827848
"IT-PC","CESM2",9.90282417859859
"IT-PD","CESM2",11.9159076893182
"IT-PE","CESM2",10.9916105016388
"IT-PG","CESM2",10.4336310772243
"IT-PI","CESM2",12.753106505935
"IT-PN","CESM2",9.10928177786272
"IT-PO","CESM2",10.888098837983
"IT-PR","CESM2",9.49012982332444
"IT-PT","CESM2",10.2350324017074
"IT-PU","CESM2",11.0454828674052
"IT-PV","CESM2",11.346217876269
"IT-PZ","CESM2",10.8937207915641
"IT-RA","CESM2",11.8024360471156
"IT-RC","CESM2",13.47060084529
"IT-RE","CESM2",9.91252577272422
"IT-RG","CESM2",15.2210839624051
"IT-RI","CESM2",9.11034276770893
"IT-RM","CESM2",12.9685118546737
"IT-RN","CESM2",11.2801562948217
"IT-RO","CESM2",12.3564240556176
"IT-SA","CESM2",12.5334102904927
"IT-SI","CESM2",11.3360723023213
"IT-SO","CESM2",1.0301517014829
"IT-SP","CESM2",11.3106599389054
"IT-SR","CESM2",15.7369517412025
"IT-SS","CESM2",13.7517004906299
"IT-SV","CESM2",10.3232223155662
"IT-TA","CESM2",14.4231118111541
"IT-TE","CESM2",10.43665741515
"IT-TN","CESM2",3.51754901642172
"IT-TO","CESM2",6.4889261559549
"IT-TP","CESM2",16.1222036093966
"IT-TR","CESM2",11.5207826562969
"IT-TS","CESM2",11.5067761476512
"IT-TV","CESM2",11.12696702428
"IT-UD","CESM2",8.24547460611384
"IT-VA","CESM2",10.3403034326758
"IT-VB","CESM2",4.37976196414159
"IT-VC","CESM2",8.57786831930686
"IT-VE","CESM2",12.0179714364785
"IT-VI","CESM2",9.23901562269826
"IT-VR","CESM2",10.9713522486766
"IT-VS","CESM2",14.725267628889
"IT-VT","CESM2",12.6512361176302
"IT-VV","CESM2",12.8947295173439
"IT-AG","CMCC-CM2-SR5",15.2402905056847
"IT-AL","CMCC-CM2-SR5",10.62356871969
"IT-AN","CMCC-CM2-SR5",12.2776354764955
"IT-AO","CMCC-CM2-SR5",-0.0280005624187793
"IT-AP","CMCC-CM2-SR5",10.3224649954905
"IT-AQ","CMCC-CM2-SR5",6.95380138513107
"IT-AR","CMCC-CM2-SR5",10.0911214032683
"IT-AT","CMCC-CM2-SR5",10.8336277430502
"IT-AV","CMCC-CM2-SR5",11.0822189122168
"IT-BA","CMCC-CM2-SR5",13.5251544300729
"IT-BG","CMCC-CM2-SR5",7.50290922403548
"IT-BI","CMCC-CM2-SR5",8.40116625080071
"IT-BL","CMCC-CM2-SR5",3.91688664066186
"IT-BN","CMCC-CM2-SR5",11.7561878805876
"IT-BO","CMCC-CM2-SR5",10.9037065760502
"IT-BR","CMCC-CM2-SR5",14.7535559348243
"IT-BS","CMCC-CM2-SR5",8.03785546352134
"IT-BT","CMCC-CM2-SR5",14.1895704777634
"IT-BZ","CMCC-CM2-SR5",1.39149487706127
"IT-CA","CMCC-CM2-SR5",14.3631460566103
"IT-CB","CMCC-CM2-SR5",12.0860719056556
"IT-CE","CMCC-CM2-SR5",13.3037529976243
"IT-CH","CMCC-CM2-SR5",11.5105442008637
"IT-CI","CMCC-CM2-SR5",14.7212891359176
"IT-CL","CMCC-CM2-SR5",15.0309086169334
"IT-CN","CMCC-CM2-SR5",6.67831586207025
"IT-CO","CMCC-CM2-SR5",8.55012285847002
"IT-CR","CMCC-CM2-SR5",11.8075139029668
"IT-CS","CMCC-CM2-SR5",11.9804199101936
"IT-CT","CMCC-CM2-SR5",13.5467883740405
"IT-CZ","CMCC-CM2-SR5",12.8806658494749
"IT-EN","CMCC-CM2-SR5",13.7883328319859
"IT-FC","CMCC-CM2-SR5",10.4436831475418
"IT-FE","CMCC-CM2-SR5",12.1818063121836
"IT-FG","CMCC-CM2-SR5",13.9178126282726
"IT-FI","CMCC-CM2-SR5",10.9975299348288
"IT-FM","CMCC-CM2-SR5",11.7458322762156
"IT-FR","CMCC-CM2-SR5",11.3356799981358
"IT-GE","CMCC-CM2-SR5",9.80172900840535
"IT-GO","CMCC-CM2-SR5",12.2271146612053
"IT-GR","CMCC-CM2-SR5",12.7827860919956
"IT-IM","CMCC-CM2-SR5",10.2548013953374
"IT-IS","CMCC-CM2-SR5",9.37879536250387
"IT-KR","CMCC-CM2-SR5",14.6550032187683
"IT-LC","CMCC-CM2-SR5",8.07023667325012
"IT-LE","CMCC-CM2-SR5",15.4124523358819
"IT-LI","CMCC-CM2-SR5",14.0156394453133
"IT-LO","CMCC-CM2-SR5",11.7805556905062
"IT-LT","CMCC-CM2-SR5",13.7551917488054
"IT-LU","CMCC-CM2-SR5",10.2838967528186
"IT-MB","CMCC-CM2-SR5",11.601983036398
"IT-MC","CMCC-CM2-SR5",10.4856044410909
"IT-ME","CMCC-CM2-SR5",12.8791719916044
"IT-MI","CMCC-CM2-SR5",11.9495374046642
"IT-MN","CMCC-CM2-SR5",11.9982861061709
"IT-MO","CMCC-CM2-SR5",10.1309960837324
"IT-MS","CMCC-CM2-SR5",10.0143577607073
"IT-MT","CMCC-CM2-SR5",13.9563607969143
"IT-NA","CMCC-CM2-SR5",15.098923513665
"IT-NO","CMCC-CM2-SR5",10.9972682163008
"IT-NU","CMCC-CM2-SR5",12.689127000264
"IT-OG","CMCC-CM2-SR5",12.5624986579473
"IT-OR","CMCC-CM2-SR5",14.1864887976357
"IT-OT","CMCC-CM2-SR5",13.8370716834589
"IT-PA","CMCC-CM2-SR5",13.6911175105642
"IT-PC","CMCC-CM2-SR5",9.93394575042941
"IT-PD","CMCC-CM2-SR5",12.0014844833401
"IT-PE","CMCC-CM2-SR5",11.0269751026017
"IT-PG","CMCC-CM2-SR5",10.519160338012
"IT-PI","CMCC-CM2-SR5",12.7368574634963
"IT-PN","CMCC-CM2-SR5",9.22209686976555
"IT-PO","CMCC-CM2-SR5",10.9010627686524
"IT-PR","CMCC-CM2-SR5",9.49631569782975
"IT-PT","CMCC-CM2-SR5",10.2442030812888
"IT-PU","CMCC-CM2-SR5",11.1269206901513
"IT-PV","CMCC-CM2-SR5",11.4125066912242
"IT-PZ","CMCC-CM2-SR5",10.8662917259135
"IT-RA","CMCC-CM2-SR5",11.8465131318395
"IT-RC","CMCC-CM2-SR5",13.4172311415559
"IT-RE","CMCC-CM2-SR5",9.91785494261237
"IT-RG","CMCC-CM2-SR5",15.1127369415176
"IT-RI","CMCC-CM2-SR5",9.17874606279321
"IT-RM","CMCC-CM2-SR5",13.0000736660106
"IT-RN","CMCC-CM2-SR5",11.3522566631363
"IT-RO","CMCC-CM2-SR5",12.413481818231
"IT-SA","CMCC-CM2-SR5",12.5006278267304
"IT-SI","CMCC-CM2-SR5",11.3521165889514
"IT-SO","CMCC-CM2-SR5",1.11048257354494
"IT-SP","CMCC-CM2-SR5",11.3085612408406
"IT-SR","CMCC-CM2-SR5",15.6319514953208
"IT-SS","CMCC-CM2-SR5",13.7079104160611
"IT-SV","CMCC-CM2-SR5",10.3558456353804
"IT-TA","CMCC-CM2-SR5",14.4110191786676
"IT-TE","CMCC-CM2-SR5",10.4803418287006
