"iso","model","tas"
"IT-AG","CESM2",17.4318174939105
"IT-AL","CESM2",12.4648565720614
"IT-AN","CESM2",14.2991059041834
"IT-AO","CESM2",1.97827470834251
"IT-AP","CESM2",12.3264412899668
"IT-AQ","CESM2",8.88056489300721
"IT-AR","CESM2",11.9030361401667
"IT-AT","CESM2",12.646790467658
"IT-AV","CESM2",13.0074764716441
"IT-BA","CESM2",15.4903844182766
"IT-BG","CESM2",9.38554997710641
"IT-BI","CESM2",10.3660212856792
"IT-BL","CESM2",5.71652600522604
"IT-BN","CESM2",13.6598811656525
"IT-BO","CESM2",12.9368559341423
"IT-BR","CESM2",16.7479555199555
"IT-BS","CESM2",9.96487147593421
"IT-BT","CESM2",16.1497005310089
"IT-BZ","CESM2",3.33159707813762
"IT-CA","CESM2",16.5547200007846
"IT-CB","CESM2",14.1910285564864
"IT-CE","CESM2",15.1672462990837
"IT-CH","CESM2",13.5349153278898
"IT-CI","CESM2",16.7840266198764
"IT-CL","CESM2",17.1895102695093
"IT-CN","CESM2",8.64294459373513
"IT-CO","CESM2",10.3902727190804
"IT-CR","CESM2",13.8192459122691
"IT-CS","CESM2",14.2296940482038
"IT-CT","CESM2",15.7286299679001
"IT-CZ","CESM2",15.0281362236605
"IT-EN","CESM2",16.0556392165105
"IT-FC","CESM2",12.3016428058643
"IT-FE","CESM2",14.1365836651245
"IT-FG","CESM2",16.0801634706501
"IT-FI","CESM2",12.8134660908327
"IT-FM","CESM2",13.7001621541214
"IT-FR","CESM2",13.2753005942514
"IT-GE","CESM2",11.6215251787323
"IT-GO","CESM2",13.8578340736587
"IT-GR","CESM2",14.9014240442843
"IT-IM","CESM2",12.0704782174332
"IT-IS","CESM2",11.2683651121387
"IT-KR","CESM2",16.8375633132044
"IT-LC","CESM2",9.94663752232347
"IT-LE","CESM2",17.4527493334769
"IT-LI","CESM2",15.9658817443764
"IT-LO","CESM2",13.7540196620969
"IT-LT","CESM2",15.7014279892452
"IT-LU","CESM2",12.2509232329334
"IT-MB","CESM2",13.4872876032856
"IT-MC","CESM2",12.5011358793493
"IT-ME","CESM2",15.1668068941718
"IT-MI","CESM2",13.8548878527257
"IT-MN","CESM2",14.0519530322786
"IT-MO","CESM2",12.2377317470604
"IT-MS","CESM2",12.0348978262482
"IT-MT","CESM2",15.8577924620792
"IT-NA","CESM2",16.9023547722249
"IT-NO","CESM2",12.9316956469274
"IT-NU","CESM2",15.0181552367663
"IT-OG","CESM2",14.9107953338496
"IT-OR","CESM2",16.3009113623191
"IT-OT","CESM2",16.1141320584074
"IT-PA","CESM2",16.2151657522184
"IT-PC","CESM2",11.9328479827514
"IT-PD","CESM2",13.9334316984823
"IT-PE","CESM2",13.110269845387
"IT-PG","CESM2",12.380056977008
"IT-PI","CESM2",14.7037515906731
"IT-PN","CESM2",11.0044105102895
"IT-PO","CESM2",12.7130993413247
"IT-PR","CESM2",11.5691804568501
"IT-PT","CESM2",12.1279791200945
"IT-PU","CESM2",13.0517715194797
"IT-PV","CESM2",13.3021736210415
"IT-PZ","CESM2",12.8396756837167
"IT-RA","CESM2",13.7028946110627
"IT-RC","CESM2",15.5629670920978
"IT-RE","CESM2",12.0391572689532
"IT-RG","CESM2",17.2074252490959
"IT-RI","CESM2",11.0371453569472
"IT-RM","CESM2",14.9521272180869
"IT-RN","CESM2",13.1940134660279
"IT-RO","CESM2",14.3477291535604
"IT-SA","CESM2",14.4853254409629
"IT-SI","CESM2",13.3315414407124
"IT-SO","CESM2",3.09076750571944
"IT-SP","CESM2",13.3073858086509
"IT-SR","CESM2",17.6333414067274
"IT-SS","CESM2",16.0081051561985
"IT-SV","CESM2",12.1892152897647
"IT-TA","CESM2",16.3123121800974
"IT-TE","CESM2",12.4692050241977
"IT-TN","CESM2",5.49110389026115
"IT-TO","CESM2",8.5440293456202
"IT-TP","CESM2",18.2171910519813
"IT-TR","CESM2",13.4299777788391
"IT-TS","CESM2",13.2010169956344
"IT-TV","CESM2",13.0497480484564
"IT-UD","CESM2",10.1255030447506
"IT-VA","CESM2",12.339741171325
"IT-VB","CESM2",6.39304401403255
"IT-VC","CESM2",10.6003246755078
"IT-VE","CESM2",13.8203849734282
"IT-VI","CESM2",11.2273121608986
"IT-VR","CESM2",13.0297093612916
"IT-VS","CESM2",16.6971832416729
"IT-VT","CESM2",14.6751018795527
"IT-VV","CESM2",14.9822013900584
"IT-AG","CMCC-CM2-SR5",17.9153156348066
"IT-AL","CMCC-CM2-SR5",12.5521931807485
"IT-AN","CMCC-CM2-SR5",14.4462510201108
"IT-AO","CMCC-CM2-SR5",2.00103350813859
"IT-AP","CMCC-CM2-SR5",12.6331592993552
"IT-AQ","CMCC-CM2-SR5",9.20879313674071
"IT-AR","CMCC-CM2-SR5",11.9713842378636
"IT-AT","CMCC-CM2-SR5",12.6737364184216
"IT-AV","CMCC-CM2-SR5",13.3360070893123
"IT-BA","CMCC-CM2-SR5",15.7859266794454
"IT-BG","CMCC-CM2-SR5",9.2618013689729
"IT-BI","CMCC-CM2-SR5",10.1342705328069
"IT-BL","CMCC-CM2-SR5",5.77524257181543
"IT-BN","CMCC-CM2-SR5",13.9962780934569
"IT-BO","CMCC-CM2-SR5",12.849289021425
"IT-BR","CMCC-CM2-SR5",17.0291790877805
"IT-BS","CMCC-CM2-SR5",9.91538772959604
"IT-BT","CMCC-CM2-SR5",16.4552408457285
"IT-BZ","CMCC-CM2-SR5",3.38798525285186
"IT-CA","CMCC-CM2-SR5",17.1164660234186
"IT-CB","CMCC-CM2-SR5",14.5778249138337
"IT-CE","CMCC-CM2-SR5",15.5566121645603
"IT-CH","CMCC-CM2-SR5",13.9472610946837
"IT-CI","CMCC-CM2-SR5",17.2978231935807
"IT-CL","CMCC-CM2-SR5",17.7024630312598
"IT-CN","CMCC-CM2-SR5",8.68857058596083
"IT-CO","CMCC-CM2-SR5",10.1353342620621
"IT-CR","CMCC-CM2-SR5",13.7831414235992
"IT-CS","CMCC-CM2-SR5",14.7943616465369
"IT-CT","CMCC-CM2-SR5",16.444858628815
"IT-CZ","CMCC-CM2-SR5",15.5323141193828
